MPNKEY,MANUFACTURER,MANUCODE,MPN,OOMPIDPARTIAL,OOMPID,LINK,DESCRIPTION,TAGS
MPN-C-4UCON-15369,4Ucon Online Connectors,C-4UCON,15369,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15369,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X10PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15370,4Ucon Online Connectors,C-4UCON,15370,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15370,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X11PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15371,4Ucon Online Connectors,C-4UCON,15371,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15371,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X12PIN  H=11.0MM  DIP=2.3 GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　,[]
MPN-C-4UCON-15372,4Ucon Online Connectors,C-4UCON,15372,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15372,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X13PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15373,4Ucon Online Connectors,C-4UCON,15373,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15373,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X14PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15374,4Ucon Online Connectors,C-4UCON,15374,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15374,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X15PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15375,4Ucon Online Connectors,C-4UCON,15375,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15375,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X16PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15376,4Ucon Online Connectors,C-4UCON,15376,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15376,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X17PIN  H=11.0MM  DIP=2.3 GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　,[]
MPN-C-4UCON-15377,4Ucon Online Connectors,C-4UCON,15377,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15377,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X18PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15378,4Ucon Online Connectors,C-4UCON,15378,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15378,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X19PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15379,4Ucon Online Connectors,C-4UCON,15379,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15379,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X20PIN  H=11.0MM  DIP=2.3 GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　,[]
MPN-C-4UCON-15380,4Ucon Online Connectors,C-4UCON,15380,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15380,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X21PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15381,4Ucon Online Connectors,C-4UCON,15381,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15381,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X22PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15382,4Ucon Online Connectors,C-4UCON,15382,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15382,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X23PIN  H=11.0MM  DIP=2.3 GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　,[]
MPN-C-4UCON-15383,4Ucon Online Connectors,C-4UCON,15383,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15383,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X24PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15384,4Ucon Online Connectors,C-4UCON,15384,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15384,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X25PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15385,4Ucon Online Connectors,C-4UCON,15385,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15385,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X26PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15386,4Ucon Online Connectors,C-4UCON,15386,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15386,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X27PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15387,4Ucon Online Connectors,C-4UCON,15387,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15387,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X28PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15388,4Ucon Online Connectors,C-4UCON,15388,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15388,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X29PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15389,4Ucon Online Connectors,C-4UCON,15389,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15389,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X30PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15390,4Ucon Online Connectors,C-4UCON,15390,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15390,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X31PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15391,4Ucon Online Connectors,C-4UCON,15391,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15391,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X32PIN  H=11.0MM  DIP=2.3 GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　,[]
MPN-C-4UCON-15392,4Ucon Online Connectors,C-4UCON,15392,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15392,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X33PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15393,4Ucon Online Connectors,C-4UCON,15393,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15393,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X34PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15394,4Ucon Online Connectors,C-4UCON,15394,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15394,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X35PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15395,4Ucon Online Connectors,C-4UCON,15395,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15395,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X36PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15396,4Ucon Online Connectors,C-4UCON,15396,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15396,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X37PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15397,4Ucon Online Connectors,C-4UCON,15397,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15397,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X38PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15398,4Ucon Online Connectors,C-4UCON,15398,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15398,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X39PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15399,4Ucon Online Connectors,C-4UCON,15399,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15399,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X40PIN DIP=2.3 GOLD FLASH　,[]
MPN-C-4UCON-15402,4Ucon Online Connectors,C-4UCON,15402,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15402,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X05PIN DIP=7.35 GOLD FLASH TUBE　,[]
MPN-C-4UCON-15403,4Ucon Online Connectors,C-4UCON,15403,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15403,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X06PIN  H=11.00MM  DIP=7.00MM   GOLD FLASH  WITHSTAND HIGH TEMPERATURE  TUBE　,[]
MPN-C-4UCON-15404,4Ucon Online Connectors,C-4UCON,15404,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15404,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X07PIN H=11.00MM  DIP=7.00MM   GOLD FLASH  WITHSTAND HIGH TEMPERATURE  TUBE　,[]
MPN-C-4UCON-15405,4Ucon Online Connectors,C-4UCON,15405,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15405,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X08PIN DIP=7.35 GOLD FLASH TUBE　,[]
MPN-C-4UCON-15406,4Ucon Online Connectors,C-4UCON,15406,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15406,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X09PIN DIP=7.35 GOLD FLASH TUBE　,[]
MPN-C-4UCON-15407,4Ucon Online Connectors,C-4UCON,15407,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15407,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X10PIN DIP=7.35 GOLD FLASH TUBE　,[]
MPN-C-4UCON-15408,4Ucon Online Connectors,C-4UCON,15408,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15408,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X11PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15409,4Ucon Online Connectors,C-4UCON,15409,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15409,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X12PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15410,4Ucon Online Connectors,C-4UCON,15410,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15410,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X13PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15411,4Ucon Online Connectors,C-4UCON,15411,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15411,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X14PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15412,4Ucon Online Connectors,C-4UCON,15412,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15412,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X15PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15413,4Ucon Online Connectors,C-4UCON,15413,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15413,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X16PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15414,4Ucon Online Connectors,C-4UCON,15414,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15414,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X17PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15415,4Ucon Online Connectors,C-4UCON,15415,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15415,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X18PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15416,4Ucon Online Connectors,C-4UCON,15416,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15416,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X19PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15417,4Ucon Online Connectors,C-4UCON,15417,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15417,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X20PIN   H=11.00MM  DIP=7.00MM   GOLD FLASH  WITHSTAND HIGH TEMPERATURE  TUBE　,[]
MPN-C-4UCON-15418,4Ucon Online Connectors,C-4UCON,15418,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15418,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X21PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15419,4Ucon Online Connectors,C-4UCON,15419,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15419,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X22PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15420,4Ucon Online Connectors,C-4UCON,15420,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15420,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X23PIN H=11.00MM  DIP=7.00MM   GOLD FLASH  WITHSTAND HIGH TEMPERATURE  TUBE　,[]
MPN-C-4UCON-15421,4Ucon Online Connectors,C-4UCON,15421,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15421,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X24PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15422,4Ucon Online Connectors,C-4UCON,15422,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15422,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X25PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15423,4Ucon Online Connectors,C-4UCON,15423,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15423,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X26PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15424,4Ucon Online Connectors,C-4UCON,15424,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15424,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X27PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15425,4Ucon Online Connectors,C-4UCON,15425,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15425,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X28PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15426,4Ucon Online Connectors,C-4UCON,15426,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15426,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X29PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15427,4Ucon Online Connectors,C-4UCON,15427,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15427,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X30PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15428,4Ucon Online Connectors,C-4UCON,15428,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15428,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X31PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15429,4Ucon Online Connectors,C-4UCON,15429,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15429,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X32PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15430,4Ucon Online Connectors,C-4UCON,15430,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15430,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X33PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15431,4Ucon Online Connectors,C-4UCON,15431,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15431,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X34PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15432,4Ucon Online Connectors,C-4UCON,15432,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15432,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X35PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15433,4Ucon Online Connectors,C-4UCON,15433,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15433,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X36PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15434,4Ucon Online Connectors,C-4UCON,15434,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15434,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X37PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15435,4Ucon Online Connectors,C-4UCON,15435,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15435,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X38PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15436,4Ucon Online Connectors,C-4UCON,15436,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15436,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X39PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15437,4Ucon Online Connectors,C-4UCON,15437,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15437,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X40PIN DIP=7.35 GOLD FLASH　,[]
MPN-C-4UCON-15438,4Ucon Online Connectors,C-4UCON,15438,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15438,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X03PIN  H=11.00MM  DIP=12.3MM GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　,[]
MPN-C-4UCON-15440,4Ucon Online Connectors,C-4UCON,15440,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15440,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X05PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15441,4Ucon Online Connectors,C-4UCON,15441,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15441,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X06PIN  H=11.00MM  DIP=12.3MM GOLD FLASH  WITHSTAND HIGH TEMPERATURE  TUBE　,[]
MPN-C-4UCON-15442,4Ucon Online Connectors,C-4UCON,15442,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15442,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X07PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15443,4Ucon Online Connectors,C-4UCON,15443,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15443,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X08PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15444,4Ucon Online Connectors,C-4UCON,15444,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15444,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X09PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15445,4Ucon Online Connectors,C-4UCON,15445,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15445,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X10PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15446,4Ucon Online Connectors,C-4UCON,15446,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15446,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X11PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15447,4Ucon Online Connectors,C-4UCON,15447,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15447,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X12PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15448,4Ucon Online Connectors,C-4UCON,15448,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15448,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X13PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15449,4Ucon Online Connectors,C-4UCON,15449,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15449,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X14PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15450,4Ucon Online Connectors,C-4UCON,15450,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15450,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X15PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15451,4Ucon Online Connectors,C-4UCON,15451,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15451,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X16PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15452,4Ucon Online Connectors,C-4UCON,15452,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15452,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X17PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15453,4Ucon Online Connectors,C-4UCON,15453,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15453,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X18PIN  H=11.00MM  DIP=12.3MM GOLD FLASH  WITHSTAND HIGH TEMPERATURE  TUBE　,[]
MPN-C-4UCON-15454,4Ucon Online Connectors,C-4UCON,15454,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15454,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X19PIN   H=11.00MM  DIP=12.3MM GOLD FLASH  WITHSTAND HIGH TEMPERATURE  TUBE　,[]
MPN-C-4UCON-15455,4Ucon Online Connectors,C-4UCON,15455,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15455,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X20PIN   H=11.00MM  DIP=12.3MM GOLD FLASH  WITHSTAND HIGH TEMPERATURE  TUBE　,[]
MPN-C-4UCON-15456,4Ucon Online Connectors,C-4UCON,15456,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15456,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X21PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15457,4Ucon Online Connectors,C-4UCON,15457,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15457,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X22PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15458,4Ucon Online Connectors,C-4UCON,15458,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15458,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X23PIN  H=11.00MM  DIP=12.3MM GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　,[]
MPN-C-4UCON-15459,4Ucon Online Connectors,C-4UCON,15459,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15459,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X24PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15460,4Ucon Online Connectors,C-4UCON,15460,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15460,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X25PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15461,4Ucon Online Connectors,C-4UCON,15461,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15461,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X26PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15462,4Ucon Online Connectors,C-4UCON,15462,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15462,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X27PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15463,4Ucon Online Connectors,C-4UCON,15463,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15463,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X28PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15464,4Ucon Online Connectors,C-4UCON,15464,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15464,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X29PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15465,4Ucon Online Connectors,C-4UCON,15465,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15465,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X30PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15466,4Ucon Online Connectors,C-4UCON,15466,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15466,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X31PIN DIP=12.2MM GOLD FLASH　,[]
MPN-C-4UCON-15467,4Ucon Online Connectors,C-4UCON,15467,,,https://www.4uconnector.com/online/SearchPro.asp?s_keyword=15467,2.54 FEMALE HEADER PLUS ONE BASE DIP 180° HEIGHT=11.0MM2X32PIN DIP=12.2MM GOLD FLASH TUBE　,[]
